prix,ville,departement,surface,pieces,latitude,longitude,source,url
740000,Paris 19e,75,110,5,48.88391,2.36658,PAP,https://www.pap.fr/annonces/maison-paris-19e-75019-r463700626
564500,Paris 18e,75,65,3,48.88764,2.3353,PAP,https://www.pap.fr/annonces/maison-paris-18e-75018-r462502606
785000,Paris 19e (Mouzaïa),75,66,3,48.88481,2.40141,PAP,https://www.pap.fr/annonces/maison-2-terrasses-r463901960
1200000,Paris 18e,75,110,5,48.90098,2.33082,PAP,https://www.pap.fr/annonces/maison-paris-18e-75018-r460101670
630000,Paris 13e,75,57,2,48.83051,2.34616,PAP,https://www.pap.fr/annonces/maison-paris-13e-75013-r460903044
698000,Paris 15e,75,70,3,48.83512,2.29678,PAP,https://www.pap.fr/annonces/maison-paris-15e-75015-r461301520
495000,Paris 14e,75,46.2,3,48.81836,2.31611,PAP,https://www.pap.fr/annonces/maison-paris-14e-75014-r464201447
1890000,Paris 13e,75,121,6,48.83544,2.36308,PAP,https://www.pap.fr/annonces/maison-paris-13e-75013-r462803420
1100000,Lyon 8e,69,170,7,45.72706,4.87717,PAP,https://www.pap.fr/annonces/maison-de-ville-lyon-8e-r463102973
1380000,Lyon 3e,69,280,8,45.76449,4.83981,PAP,https://www.pap.fr/annonces/maison-lyon-3e-69003-r462801503
880000,Lyon 3e,69,151,5,45.76441,4.86124,PAP,https://www.pap.fr/annonces/maison-lyon-3e-69003-r464002891
1400000,Lyon,69,350,11,45.76055,4.82502,PAP,https://www.pap.fr/annonces/maison-piscine-garage-cave-r439002181
890000,Aspremont (près Nice),06,153,7,43.77059,7.25051,PAP,https://www.pap.fr/annonces/maison-nice-aspremont-r448401119
915000,Nice,06,120,5,43.70139,7.24994,PAP,https://www.pap.fr/annonces/maison-nice-06000-r464300220
897000,Nice,06,127,4,43.71771,7.2651,PAP,https://www.pap.fr/annonces/maison-nice-06000-r463800927
1150000,Nice - Collines,06,240,6,43.73714,7.28587,PAP,https://www.pap.fr/annonces/maison-nice-collines-r458001282
1190000,Nice,06,185,5,43.71098,7.27615,PAP,https://www.pap.fr/annonces/maison-nice-06000-r463100315
1100000,Drap (près Nice),06,269,8,43.75007,7.33236,PAP,https://www.pap.fr/annonces/maison-drap-r463503041
